UserID,PaymentRevenue
1673606540036-6494864443960941150,"6,489074738"
1673630051022-6068238944137604885,"2,34308399"
1673642526831-5034466107751101323,"2,99"
1673606540036-6494864443960941150,"6,489074738"
1673645610519-1804284928918951134,"4,035901758"
1673625536962-3029069623219962180,"2,448859079"
1673625536962-3029069623219962180,"2,448859079"
1673625536962-3029069623219962180,"2,448859079"
1673625536962-3029069623219962180,"2,448859079"
1673606540036-6494864443960941150,"6,487036756"
1673617556588-4235047973511991229,"1,176136331"
1673617556588-4235047973511991229,"5,882117578"
1673537581631-1045055346906437675,"0,9249552183"
1673537581631-1045055346906437675,"2,122308252"
1673531851054-7900524729369350448,"5,837741874"
1673547994070-2137364852673358500,"13,56377018"
1673568860431-8605075132062658538,"5,556204591"
1673568860431-8605075132062658538,"5,556204591"
1673568860431-8605075132062658538,"11,11936313"
1673898153316-8282222921634280811,"6,467704667"
1673673308372-1271430692906443497,"3,005648267"
1673922844366-4841514595750605328,"1,154853963"
1673721827047-109964056652353602,"3,005648267"
1673643655212-7236353410845319507,"14,30303884"
1673666655501-2145638201397573351,"1,945054415"
1673666655501-2145638201397573351,"6,720754171"
1673922225341-1149308068658757168,"2,920376596"
1673835883574-2915187232450039280,"7,521277156"
1673666655501-2145638201397573351,"3,35922105"
1673811806230-8384032497088260517,"6,483736537"
1673634175137-4655064172059089115,"3,874731106"
1673719633366-536956342564143077,"6,500482924"
1673855814492-3187450999743010928,"1,762606854"
1673944361714-8950169598736757741,"1,174417693"
1673719633366-536956342564143077,"12,9797023"
1674019361325-2933131829607587887,"2,453537799"
1673673308372-1271430692906443497,"3,056323394"
1674019361325-2933131829607587887,"4,171011138"
1673922225341-1149308068658757168,"1,787286436"
1673922225341-1149308068658757168,"1,787286436"
1673922225341-1149308068658757168,"1,787286436"
1673922225341-1149308068658757168,"1,787286436"
1673922225341-1149308068658757168,"1,78276659"
1673679564165-2961961023852565800,"1,194921583"
1673679564165-2961961023852565800,"2,995839112"
1673679564165-2961961023852565800,"2,995839112"
1673914615818-4931746593650898613,"3,056270068"
1673870232490-6633080454594129080,"1,080233839"
1673852136139-6827594803584089728,"12,12086913"
1673537581631-1045055346906437675,"2,120260674"
1673639492435-5392036072612301587,"2,251225752"
1673617701230-1254440650165122365,"3,98239114"
1673617701230-1254440650165122365,"12,94007311"
1673775202006-5323420304334114571,"1,398473584"
