MediaSource,CampaignID,Country,Cost
MediaSource1,19560308588,JP,"99,354037"
MediaSource1,19560308588,AZ,"3,931974"
MediaSource1,19560308588,LU,"1,258589"
MediaSource1,19560305480,SX,"0,342779"
MediaSource1,19560305480,WS,"0,06153"
MediaSource1,19560305480,AG,"0,45194"
MediaSource1,19560308588,ZA,"22,311421"
MediaSource1,19560305480,JM,"7,141528"
MediaSource1,19560308588,MP,"0,0014"
MediaSource1,19560308588,BQ,"0,029785"
MediaSource1,19560305480,UY,"15,959248"
MediaSource1,19560305480,BH,"0,681188"
MediaSource1,19560305480,PW,"0,091579"
MediaSource1,19560308588,XK,"0,727401"
MediaSource1,19560308588,SA,"10,269964"
MediaSource1,19560305480,CM,"0,366323"
MediaSource1,19560305480,GF,"2,651379"
MediaSource1,19560308588,BN,"0,440026"
MediaSource1,19560305480,VI,"0,18959"
MediaSource1,19560308588,MO,"1,331419"
MediaSource1,19560305480,ES,"136,546407"
MediaSource1,19560305480,KW,"2,861553"
MediaSource1,19560308588,ID,"61,946135"
MediaSource1,19560308588,CK,"0,025647"
MediaSource1,19560305480,SG,"8,376261"
MediaSource1,19560308588,TZ,"0,262037"
MediaSource1,19560305480,GY,"0,420807"
MediaSource1,19560308588,KN,"0,200319"
MediaSource1,19560305480,CR,"14,31877"
MediaSource1,19560305480,TC,"0,150214"
MediaSource1,19560308588,DO,"7,548764"
MediaSource1,19560305480,PH,"102,752697"
MediaSource1,19560305480,LS,"0,016106"
MediaSource1,19560305480,BW,"1,826701"
MediaSource1,19560305480,MV,"0,952278"
MediaSource1,19560305480,RS,"15,600901"
MediaSource1,19560305480,AI,"0,006083"
MediaSource1,19560308588,GQ,"0,006314"
MediaSource1,19560305480,SV,"5,916676"
MediaSource1,19560305480,OM,"2,45264"
MediaSource1,19560308588,CZ,"52,429099"
MediaSource1,19560305480,GH,"1,290152"
MediaSource1,19560308588,SO,"0,085136"
MediaSource1,19560305480,TR,"148,442152"
MediaSource1,19560305480,LB,"2,420602"
MediaSource1,19560305480,PY,"5,579561"
MediaSource1,19560305480,BF,"0,6777"
MediaSource1,19560308588,VA,"0,0001"
MediaSource1,19560305480,FM,"0,152939"
MediaSource1,19560305480,MG,"0,603216"
MediaSource1,19560305480,IL,"35,18132"
MediaSource1,19560308588,TT,"0,369596"
MediaSource1,19560305480,SI,"12,811838"
MediaSource1,19560305480,KY,"0,065178"
MediaSource1,19560308588,GN,"0,039709"
MediaSource1,19560308588,MA,"2,24408"
MediaSource1,19560308588,FK,"0,00004"
